ID,Label,Latitude,Longitude,Elevation,Capacity
3945,Amsterdam Ave & W 136 St,40.819746,-73.951819,146.40056816,21
3125,45 Rd & 11 St,40.74708586,-73.94977234,11.16905212,23
3919,Wall St & South St,40.704370000000004,-74.00636999999999,4.853,37
3403,4 Ave & 9 St,40.6705135,-73.98876585,82.16625989,31
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,49.0506,19
254,W 11 St & 6 Ave,40.73532427,-73.99800419,23.19628229,47
453,W 22 St & 8 Ave,40.74475148,-73.99915362,20.97119059,66
3443,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,62.08427528,40
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,38.45304161,65
516,E 47 St & 1 Ave,40.75206862,-73.96784384,30.8383,31
3518,Lenox Ave & W 126 St,40.808442,-73.94520870000001,26.15484247,34
3621,27 Ave & 9 St,40.7739825,-73.93091340000001,51.814049140600005,19
3715,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760306,12.3154,31
3917,Willoughby St & Ashland Pl,40.69178,-73.97877,32.88285789,31
326,E 11 St & 1 Ave,40.72953837,-73.98426726,64.02,41
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,8.17221696,27
151,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,106.61,33
3906,West St & Liberty St,40.711444,-74.014847,11.835798329500001,32
3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,55.77358322,39
3604,Rogers Ave & Sterling St,40.6630619,-73.95387459999999,64.7375,16
3425,2 Ave & E 104 St,40.789210499999996,-73.94370784,9.34982071,33
3765,Bushwick Ave & Stagg St,40.709897,-73.94008000000001,43.14710702,21
3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,28.89686763,23
3901,Stanhope St & Fairview Ave,40.70998,-73.91116,107.25,17
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,8.89989168,39
3368,5 Ave & 3 St,40.672815500000006,-73.98352355,42.3558,30
291,Madison St & Montgomery St,40.713126,-73.984844,31.2948,20
450,W 49 St & 8 Ave,40.76227205,-73.98788205,88.1,67
280,E 10 St & 5 Ave,40.73331967,-73.99510132,30.00622136,30
3124,46 Ave & 5 St,40.74731,-73.95451,7.35157072,43
3749,Lexington Ave & E 36 St,40.747573958954796,-73.97880077362059,61.4545,23
